Age,L,M,S,P01,P1,P3,P5,P10,P15,P25,P50,P75,P85,P90,P95,P97,P99,P999
147,1,42.4115,0.02841,38.688,39.608,40.145,40.43,40.867,41.163,41.599,42.412,43.224,43.66,43.956,44.393,44.678,45.215,46.135
148,1,42.44,0.0284,38.715,39.636,40.173,40.457,40.895,41.191,41.627,42.44,43.253,43.689,43.985,44.423,44.707,45.244,46.165
149,1,42.4684,0.02839,38.743,39.664,40.201,40.485,40.923,41.219,41.655,42.468,43.282,43.718,44.014,44.452,44.736,45.273,46.194
150,1,42.4965,0.02839,38.768,39.69,40.227,40.512,40.95,41.246,41.683,42.497,43.31,43.747,44.043,44.481,44.766,45.303,46.225
151,1,42.5246,0.02838,38.795,39.717,40.255,40.54,40.978,41.274,41.711,42.525,43.339,43.775,44.071,44.51,44.794,45.332,46.254
152,1,42.5524,0.02837,38.822,39.744,40.282,40.567,41.005,41.301,41.738,42.552,43.367,43.804,44.1,44.538,44.823,45.361,46.283
153,1,42.5801,0.02836,38.848,39.771,40.309,40.594,41.033,41.329,41.766,42.58,43.395,43.832,44.128,44.566,44.851,45.389,46.312
154,1,42.6076,0.02835,38.875,39.798,40.336,40.621,41.06,41.356,41.793,42.608,43.422,43.86,44.156,44.594,44.879,45.418,46.34
155,1,42.6349,0.02835,38.9,39.823,40.362,40.647,41.086,41.382,41.82,42.635,43.45,43.888,44.184,44.623,44.908,45.447,46.37
156,1,42.6621,0.02834,38.926,39.849,40.388,40.673,41.113,41.409,41.847,42.662,43.478,43.915,44.212,44.651,44.936,45.475,46.398
157,1,42.6892,0.02833,38.952,39.876,40.415,40.7,41.139,41.436,41.873,42.689,43.505,43.943,44.239,44.678,44.964,45.503,46.426
158,1,42.716,0.02832,38.978,39.902,40.441,40.726,41.166,41.462,41.9,42.716,43.532,43.97,44.266,44.706,44.991,45.53,46.454
159,1,42.7427,0.02832,39.002,39.927,40.466,40.752,41.191,41.488,41.926,42.743,43.559,43.997,44.294,44.734,45.019,45.559,46.483
160,1,42.7693,0.02831,39.028,39.953,40.492,40.778,41.218,41.514,41.953,42.769,43.586,44.024,44.321,44.761,45.047,45.586,46.511
161,1,42.7957,0.0283,39.053,39.978,40.518,40.804,41.244,41.54,41.979,42.796,43.613,44.051,44.348,44.788,45.074,45.613,46.538
162,1,42.8219,0.02829,39.078,40.004,40.543,40.829,41.269,41.566,42.005,42.822,43.639,44.077,44.374,44.815,45.1,45.64,46.566
163,1,42.848,0.02829,39.102,40.028,40.568,40.854,41.295,41.592,42.03,42.848,43.666,44.104,44.401,44.842,45.128,45.668,46.594
164,1,42.874,0.02828,39.127,40.053,40.594,40.88,41.32,41.617,42.056,42.874,43.692,44.131,44.428,44.868,45.154,45.695,46.621
165,1,42.8997,0.02827,39.152,40.078,40.619,40.905,41.345,41.643,42.082,42.9,43.718,44.157,44.454,44.895,45.181,45.721,46.647
166,1,42.9254,0.02827,39.175,40.102,40.643,40.929,41.37,41.668,42.107,42.925,43.744,44.183,44.481,44.921,45.208,45.748,46.675
167,1,42.9509,0.02826,39.2,40.127,40.668,40.954,41.395,41.693,42.132,42.951,43.77,44.209,44.506,44.947,45.234,45.775,46.702
168,1,42.9762,0.02825,39.224,40.152,40.693,40.979,41.42,41.718,42.157,42.976,43.795,44.235,44.532,44.973,45.26,45.801,46.728
169,1,43.0014,0.02825,39.247,40.175,40.717,41.003,41.445,41.742,42.182,43.001,43.821,44.26,44.558,45.0,45.286,45.827,46.755
170,1,43.0264,0.02824,39.272,40.2,40.741,41.028,41.469,41.767,42.207,43.026,43.846,44.286,44.584,45.025,45.312,45.853,46.781
171,1,43.0513,0.02823,39.296,40.224,40.765,41.052,41.494,41.792,42.232,43.051,43.871,44.311,44.609,45.05,45.337,45.879,46.807
